id,title,authors,published_date,source,venue_or_status,primary_topic,secondary_topics,priority,fit_score,influence_score,interestingness_score,paper_url,pdf_url,code_url,project_page,summary_level,one_sentence_summary,why_it_matters,public_note_path
2604.22748v1,"Agentic World Modeling: Foundations, Capabilities, Laws, and Beyond",Meng Chu,2026-04-24,arxiv,arXiv preprint,agents,evaluation; reinforcement_learning,Must read,Medium,2.872,8.828,http://arxiv.org/abs/2604.22748v1,https://arxiv.org/pdf/2604.22748v1,,,pdf_summary,"We introduce a ""levels x laws"" taxonomy organized along two axes.",It looks relevant to agents and is a plausible candidate for a first-pass read.,catalog/papers/2026-04-26/agentic-world-modeling-foundations-capabilities-laws-and-beyond.md
2604.22550v1,ArmSSL: Adversarial Robust Black-Box Watermarking for Self-Supervised Learning Pre-trained Encoders,Yongqi Jiang,2026-04-24,arxiv,arXiv preprint,safety_alignment,evaluation,Must read,Medium,2.957,8.403,http://arxiv.org/abs/2604.22550v1,https://arxiv.org/pdf/2604.22550v1,,,pdf_summary,"We propose ArmSSL, an SSL watermarking framework that assures black-box verifiability and adversarial robustness while preserving utility.",It looks relevant to safety alignment and is a plausible candidate for a first-pass read.,catalog/papers/2026-04-26/armssl-adversarial-robust-black-box-watermarking-for-self-supervised-learning-pr.md
2604.22715v1,ATRS: Adaptive Trajectory Re-splitting via a Shared Neural Policy for Parallel Optimization,Jiajun Yu,2026-04-24,arxiv,arXiv preprint,agents,theory_optimization; reinforcement_learning,Must read,Medium,2.902,8.278,http://arxiv.org/abs/2604.22715v1,https://arxiv.org/pdf/2604.22715v1,,,pdf_summary,The main contributions of this work are: • Adaptive Trajectory Re-splitting Framework: We formulate the adaptive structural adjustment for parallel trajectory optimization as a Multi-Agent RL problem for the first time.,It looks relevant to agents and is a plausible candidate for a first-pass read.,catalog/papers/2026-04-26/atrs-adaptive-trajectory-re-splitting-via-a-shared-neural-policy-for-parallel-op.md
2604.22558v1,SOLAR-RL: Semi-Online Long-horizon Assignment Reinforcement Learning,Jichao Wang,2026-04-24,arxiv,arXiv preprint,foundation_models,agents; reinforcement_learning,Must read,Medium,2.752,7.928,http://arxiv.org/abs/2604.22558v1,https://arxiv.org/pdf/2604.22558v1,,,pdf_summary,"Our main contributions are summarized as follows: • We propose SOLAR-RL, a framework that bridges the gap between offline training stability and online exploration by simulating dynamic feedback mechanisms within static datasets. • We introduce a trajectory-aware reward shaping mechanism that addresses the credit assignment problem by performing retroactive credit assignment via failure-point detection and target-aligned reward shaping, distilling trajectory-level execution quality into dense step-level rewards. • We achieve competitive performance with online/SFT baselines without interaction, specifically demonstrating superior robustness and generalization in complex, long-horizon tasks compared to strong baselines.",It looks relevant to foundation models and is a plausible candidate for a first-pass read.,catalog/papers/2026-04-26/solar-rl-semi-online-long-horizon-assignment-reinforcement-learning.md
2604.22565v1,Learning Evidence Highlighting for Frozen LLMs,Shaoang Li,2026-04-24,arxiv,arXiv preprint,foundation_models,theory_optimization; reinforcement_learning,Must read,Medium,2.902,7.828,http://arxiv.org/abs/2604.22565v1,https://arxiv.org/pdf/2604.22565v1,,,pdf_summary,"This motivates an explicit decoupling: rather than forcing a single solver to simultaneously sift through noise and reason, we introduce a lightweight module whose sole job is to surface evidence, allowing a powerful frozen solver to devote its capacity to reasoning.",It looks relevant to foundation models and is a plausible candidate for a first-pass read.,catalog/papers/2026-04-26/learning-evidence-highlighting-for-frozen-llms.md
2604.22575v1,SpikingBrain2.0: Brain-Inspired Foundation Models for Efficient Long-Context and Cross-Platform Inference,Yuqi Pan,2026-04-24,arxiv,arXiv preprint,foundation_models,neuroai,Must read,Medium,2.712,7.828,http://arxiv.org/abs/2604.22575v1,https://arxiv.org/pdf/2604.22575v1,,,metadata_only,,,
2604.22615v1,GazeVLA: Learning Human Intention for Robotic Manipulation,Chengyang Li,2026-04-24,arxiv,arXiv preprint,foundation_models,evaluation; agents,Must read,Medium,2.542,7.378,http://arxiv.org/abs/2604.22615v1,https://arxiv.org/pdf/2604.22615v1,,,metadata_only,,,
2604.22597v1,Rethinking Math Reasoning Evaluation: A Robust LLM-as-a-Judge Framework Beyond Symbolic Rigidity,Erez Yosef,2026-04-24,arxiv,arXiv preprint,foundation_models,evaluation,Skim,Low,2.597,7.053,http://arxiv.org/abs/2604.22597v1,https://arxiv.org/pdf/2604.22597v1,,,metadata_only,,,
2604.22557v1,Are Natural-Domain Foundation Models Effective for Accelerated Cardiac MRI Reconstruction?,Anam Hashmi,2026-04-24,arxiv,arXiv preprint,foundation_models,safety_alignment; theory_optimization,Skim,Medium,2.567,7.003,http://arxiv.org/abs/2604.22557v1,https://arxiv.org/pdf/2604.22557v1,,,metadata_only,,,
2604.22569v1,Adversarial Co-Evolution of Malware and Detection Models: A Bilevel Optimization Perspective,Olha Jurečková,2026-04-24,arxiv,arXiv preprint,safety_alignment,theory_optimization; reinforcement_learning,Skim,Medium,2.527,6.903,http://arxiv.org/abs/2604.22569v1,https://arxiv.org/pdf/2604.22569v1,,,metadata_only,,,
2604.22709v1,Thinking Without Words: Efficient Latent Reasoning with Abstract Chain-of-Thought,Keshav Ramji,2026-04-24,arxiv,arXiv preprint,foundation_models,reinforcement_learning,Skim,Low,2.302,6.778,http://arxiv.org/abs/2604.22709v1,https://arxiv.org/pdf/2604.22709v1,,,metadata_only,,,
2604.22658v1,PASR: Pose-Aware 3D Shape Retrieval from Occluded Single Views,Jiaxin Shi,2026-04-24,arxiv,arXiv preprint,safety_alignment,theory_optimization; foundation_models,Skim,Medium,2.447,6.703,http://arxiv.org/abs/2604.22658v1,https://arxiv.org/pdf/2604.22658v1,,,metadata_only,,,
2604.22542v1,Controllable Spoken Dialogue Generation: An LLM-Driven Grading System for K-12 Non-Native English Learners,Haidong Yuan,2026-04-24,arxiv,arXiv preprint,foundation_models,theory_optimization; reinforcement_learning,Skim,Low,2.262,6.678,http://arxiv.org/abs/2604.22542v1,https://arxiv.org/pdf/2604.22542v1,,,metadata_only,,,
2604.22649v1,Structure-Guided Diffusion Model for EEG-Based Visual Cognition Reconstruction,Yongxiang Lian,2026-04-24,arxiv,arXiv preprint,neuroai,theory_optimization,Skim,Low,2.327,6.403,http://arxiv.org/abs/2604.22649v1,https://arxiv.org/pdf/2604.22649v1,,,metadata_only,,,
2604.22591v1,RedVLA: Physical Red Teaming for Vision-Language-Action Models,Yuhao Zhang,2026-04-24,arxiv,arXiv preprint,safety_alignment,theory_optimization,Skim,Low,2.047,6.153,http://arxiv.org/abs/2604.22591v1,https://arxiv.org/pdf/2604.22591v1,,,metadata_only,,,
2604.22714v1,Long-tail Internet photo reconstruction,Yuan Li,2026-04-24,arxiv,arXiv preprint,foundation_models,evaluation; theory_optimization,Skim,Low,2.207,6.103,http://arxiv.org/abs/2604.22714v1,https://arxiv.org/pdf/2604.22714v1,,,metadata_only,,,
